review,sentiment
"""Terrible, terrible joy.
benjaminskylerhill 10 December 2022

With less than 1/4 of the budget of the soulless Disney live action remake earlier this
year, Del Toro & Co. Have managed to craft a version of Pinocchio with more personality,
heart, and soul than Disney could have dreamed of crafting

It injects new life into the character by telling a story that is vastly different both
narratively and thematically than any version we've seen on screen before.

This tale deals with the malleability of identity, unconditional love, the impressionable
nature of children, and the close link between joy and sorrow. And it does so with dark
wit, refreshingly complex three-dimensional characters, and stunningly haunting stop-
motion animation.

However, I do think this could have benefited a bit from cutting down on the plethora of
plot points and having Pinocchio and Geppetto spend more time together. This version
lacks the tight focus and brisk pacing of the 1940 version

But aside from this, I was thoroughly entranced by this dark fairy tale. It has a spine and
a soul, and unlike it's titular protagonist, it's far from wooden
",positive
"A good film that might not be for everyone
Jeremy Urquhart 28 November 2022

A new Guillermo Del Toro movie is always something worth getting excited about, and I
think his take on Pinocchio is another winner. While it might not live up to his very best
films, it's another strong addition to his filmography... though it's also worth mentioning
that he co-directed this one. Mark Gustafson is the other director, and he's not going to
get as much credit as Del Toro, being the lesser-known name. But I imagine you don't
get credited as a co-director unless you do a good deal of the work, so he shouldn't go
ignored.

It's easy to see why this take on the Pinocchio story was appealing to Del Toro. It's a
fairly dark fairytale, it deals with child characters in a cruel world, it blends fantasy and
real-world conflict (here, it's set in Italy I think either before or at the start of WW2), and
it's also a story with big emotions, being heartfelt and also surprisingly sad in places. All
these themes/directorial trademarks can be found in Del Toro's other films, which makes
this one feel right at home among them (even if it's the first to be animated).

The animation looks unique and is great to look at throughout. Unlike other animated
movies with unique looks, I didn't feel like this one took a while to get used to. It pulls
you in right away, and I think the music helps a great deal, too. It's overall a nice-looking
and nice-sounding movie, with pretty good voice-acting, too.

The fact that it deals with mature themes (surprising amounts of death and Fascism in
this movie) and might look unsettling to some, while also having child-friendly comic
relief and music numbers do make it feel a bit odd tonally. 1 appreciate the effort that
went into making this a movie with elements that'll appeal to younger viewers, and
elements that'll appeal to older viewers, but I'm not sure the variety of tones is always
balanced expertly. If I had any criticism, it's that, but otherwise, this is a very good
animated movie, and another triumph for Del Toro (and his co-director!).
",positive
"i actually loved it, I RECOMMEND!
macormaria 22 September 2022

Contrary to all the reviews i am seeing, 1 really liked the moviel! I am not an expert, just
a regular watcher but i can say | loved the plot, the acting, the twist/ reveal really
shocked me and overall as a simple watcher and not a movie expert with an impressive
watchlist i enjoyed it thoroughly! I also dont believe it is Olivia Wilde's fault there is so
much drama surrounding this movie, but the irrational fans' that invest themselves too
much in someone else's life. But after all, every single movie i watch has predominantly
bad reviews and disappointed people tied to it.

My favourite part was the reveal of the concept behind victory, and tho i genuinely dont
know whether the ideas are stolen it left me covering my mouth for the rest of the

movie, so to me it was great!!

I RECOMMEND IT!
",positive
"Brilliant...seriously
doctordeadpool69 23 September 2022

Plot twist lovers please buy your tickets.
Olivia Wilde is absolutely a genius.
You can hate her for her personality but this movie was fantastic.

I know there was a drama between her and Flo (and Harry and Chris), but in my opinion
that was just clever marketing.

Alll the actors/actresses did an amazing job. I have to highlight Florence's performance,
because she is so talented and was the perfect cast for the main character.

And Harry. Oh Harry. This boy suprised me with his acting skills. I didn't think that he will
be that good.

The whole story went pretty well from the beginning.
Those little details/flashes just made it even more psychic.

Only the ending was a little bit questionable for me but its alright.
",positive
"If it had of stuck more to the script it would have been perfect!
TheLastOracle 23 September 2022

What I like about this movie is that it makes you use you mind rather than hold your
hand and spoon-feed you every little bit of info, the answers are already there, all you
have to do is look.

The plot was good and well thought out, but it did deter quite a bit from the script and
left out bits that would have added to the movie, but I suppose they had to soften is for
the more delicate viewers.

The twist and turns in this are quite clever and this does have an old vibe to it which is
good and certainly different from the constant action-packed movies or the over the top
romantic ones we have these days.

Florence Pughs acting was absolutely amazing, and had the movie stuck more to the
original script rather than focus on sex and being oh so glamorous, it would have been

more so.

Overall it is a pretty good movie, even if half of it was missing.
",positive
"""T'll tell you, but you can't use my name'
Red-125 3 February 2023

She Said (2022) was directed by Maria Schrader. It's a semi-documentary, based on the
New York Times investigation of Harvey Weinstein by reporters Jodi Kantor and Megan
Twohey.

(Zoe Kazan plays Kantor, and Carey Mulligan portrays Twohey.}

Ina sense, this movie is like many others-intrepid reporters using their professional skills
to bring down a truly terrible person. In this case, that person was Harvey Weinstein.

What we don't know-and what the movie shows us-was how difficult it was for Kantor
and Twohey to get women to talk on the record

""Everyone knew"" that Weinstein was a sexual predator. However, his position in the film
industry was such that he could crush anyone who refused his demands. (He also
survived by offering settlements to his victims. These settlements included a non-
disclosure clause.)

Even though we know the outcome, this film is still powerful

Kazan and Mulligan are extraordinary actors, and they bring to life the struggle of getting
women to talk on the record. It's worth watching the film to see if they can accomplish
this seemingly impossible task.

She Said has a pretty good IMDb rating of 7.2. (Of interest is that women rated it 7.5,
while men rated it 7.1.) I enjoyed this movie, and I thought that it was much better than
that. I rated it &
",positive
"This film packs a punch.
Sleepin_Dragon 27 August 2023

Two brave journalists, Jodi Kantor and Megan Twohey work to unearth The Harvey
Weinstein scandal, one of Hollywood's most powerful producers, who preyed on many
women.

It's a very powerful, thought provoking film, just over two hours long, but well paced and
chillingly realistic, it's almost shocking to believe these events did actually happen. Very
well made, very well acted, the story of how a dangerous predator was finally taken to
task

There is something so sickening about NDA's they served to simply allow perpetrators to
get away with their crimes scott free.

It's a movement that seems to have changed the whole industry, exposing not just a
single predatory individual, who misused his immense sense of power and control, but a

whole network, a society that for two long remained protected.

Zoe Kazan and Carey Mulligan deliver terrific performances, the pair truly deliver very
powerful, very sincere performances, the pair combined particularly well

It's frightening to think how much has been brushed under the carpet over the years.

This is a very powerful story.
",positive
"SHE SAID is a quiet thriller that speaks many voices and volumes that
need to be heard, It will be hard to watch SHE SAID, but It needs to be
watched by every generation

GusherPop 11 January 2023

SHE SAID is a quiet thriller that speaks many voices and volumes that need to be heard,
It will be hard to watch SHE SAID, but It needs to be watched by every generation and
has to be addressed. In February 2020, a New York jury found Harvey Weinstein, the
producer whose films had won dozens of Oscars, guilty of criminal sexual assault and
rape. Now, two and a half years later, he is again on trial, in California, facing 11 further
charges. Jurors in this trial received a particular instruction: The judge barred them from
watching the trailer for ""She Said."" Others have largely eluded consequences. Debate
continues about whether the movement has gone too far or not far enough. Already,
some Hollywood industry leaders have observed a regression, if not an outright backlash
This is the contentious climate in which the film arrives. ""She Said,' directed by Maria
Schrader from a script by Rebecca Lenkiewicz, is built solid and low to the ground, as if
designed to withstand these shifts in cultural winds. ""She Said"" opens not in the
newsroom or in one of the hotel suites that Weinstein preferred, but in rural Ireland in
1992 when a young woman encounters a film crew, which swiftly adopts her. But only
seconds later she is shown running down a city street, panicked - a victim, it would
seem, of assault. In the film, as in life, the reporters benefit from a lucky break or two -
a source within the Weinstein Company (Zach Grenier), an admission by a Weinstein
lawyer (Peter Friedman). But ""She Said"" largely stresses the unglamorous grind of an
investigation: the phone calls, the doorstepping, the delicate moral suasion that reporters
use to convince sources to trust them. Here is the argument Twohey uses with the
women she speaks with: ""I can't change what happened to you in the past, but together
we may be able to use your experience to help protect other people."" ""She Said' details a
triumph of journalistic sympathy and precision. What will become of the real-world
movement this reporting kindled? The jury's still out.
",positive
"Powerful
okpilak 16 January 2023

This movie is about how journalism works. The work of journalists, not just a talking
head on television, but the effort involved in uncovering a story and getting the
collaboration of what they are reporting on. This isn't the story of the 5 o'clock evening
news that is heard and quickly forgotten. The strength of the movie is how they showed
the difficulty in getting the women to come forward, and the substantial power those in
control hold over others. I suspect from when this movie came out, that the postscripts
at the end were to be sort of a recap. Instead, I found them much too rosy assumptions
of what will be accomplished from getting the story out. In reality, this is only the
beginning of a long and difficult task ahead to benefit all in society. A good pairing for this
film would be Bombshell (2019).
",positive
"Excellent movie
oktaytaskapan 5 October 2005

This movie reflects the culture and intelligence of distinguished European animated
filmmakers. Per Ahlin's personal drawing style and characters are unique. The film is
based on Shakespeare's masterpiece, the storm. First of all, it presents a strong message
on the future of humanity, life and environmental pollution. This is one of the best
animated movies I have ever seen. In my opinion this movie can be compared only to
Miyazaki's ""Spirited Away"", It is clear that Per Ahlin is one of the most talented animators
in the world. All children must see this movie ! And a last word: A nice treatment for
humans suffering from Disney movies !
",positive
