review,sentiment
terrible terrible joy benjaminskylerhill 10 december 2022  less  14   budget   soulless disney live action remake earlier  year del toro co  managed  craft  version  pinocchio   personality heart  soul  disney could  dreamed  crafting  injects new life   character  telling  story   vastly different  narratively  thematically   version weve seen  screen   tale deals   malleability  identity unconditional love  impressionable nature  children   close link  joy  sorrow      dark wit refreshingly complex threedimensional characters  stunningly haunting stop motion animation however   think  could  benefited  bit  cutting    plethora  plot points   pinocchio  geppetto spend  time together  version lacks  tight focus  brisk pacing   1940 version  aside     thoroughly entranced   dark fairy tale    spine   soul  unlike  titular protagonist  far  wooden,positive
 good film  might    everyone jeremy urquhart 28 november 2022  new guillermo del toro movie  always something worth getting excited    think  take  pinocchio  another winner   might  live     best films  another strong addition   filmography though  also worth mentioning   codirected  one mark gustafson    director  hes  going  get  much credit  del toro   lesserknown name   imagine  dont get credited   codirector unless    good deal   work   shouldnt go ignored  easy  see   take   pinocchio story  appealing  del toro   fairly dark fairytale  deals  child characters   cruel world  blends fantasy  realworld conflict   set  italy  think either     start  ww2   also  story  big emotions  heartfelt  also surprisingly sad  places   themesdirectorial trademarks   found  del toros  films  makes  one feel right  home among  even    first   animated  animation looks unique   great  look  throughout unlike  animated movies  unique looks  didnt feel like  one took    get used   pulls   right away   think  music helps  great deal   overall  nicelooking  nicesounding movie  pretty good voiceacting   fact   deals  mature themes surprising amounts  death  fascism   movie  might look unsettling    also  childfriendly comic relief  music numbers  make  feel  bit odd tonally 1 appreciate  effort  went  making   movie  elements thatll appeal  younger viewers  elements thatll appeal  older viewers  im  sure  variety  tones  always balanced expertly     criticism    otherwise     good animated movie  another triumph  del toro   codirector,positive
 actually loved   recommend macormaria 22 september 2022 contrary    reviews   seeing 1 really liked  moviel     expert   regular watcher    say loved  plot  acting  twist reveal really shocked   overall   simple watcher    movie expert   impressive watchlist  enjoyed  thoroughly  also dont believe   olivia wildes fault    much drama surrounding  movie   irrational fans  invest   much  someone elses life    every single movie  watch  predominantly bad reviews  disappointed people tied    favourite part   reveal   concept behind victory  tho  genuinely dont know whether  ideas  stolen  left  covering  mouth   rest   movie      great  recommend ,positive
brilliantseriously doctordeadpool69 23 september 2022 plot twist lovers please buy  tickets olivia wilde  absolutely  genius   hate    personality   movie  fantastic  know    drama    flo  harry  chris    opinion    clever marketing alll  actorsactresses   amazing job    highlight florences performance     talented    perfect cast   main character  harry oh harry  boy suprised    acting skills  didnt think      good  whole story went pretty well   beginning  little detailsflashes  made  even  psychic   ending   little bit questionable     alright,positive
    stuck    script  would   perfect thelastoracle 23 september 2022   like   movie    makes  use  mind rather  hold  hand  spoonfeed  every little bit  info  answers  already        look  plot  good  well thought     deter quite  bit   script  left  bits  would  added   movie   suppose    soften     delicate viewers  twist  turns    quite clever      old vibe     good  certainly different   constant actionpacked movies     top romantic ones    days florence pughs acting  absolutely amazing    movie stuck    original script rather  focus  sex   oh  glamorous  would     overall    pretty good movie even  half    missing,positive
tll tell    cant use  name red125 3 february 2023  said 2022  directed  maria schrader   semidocumentary based   new york times investigation  harvey weinstein  reporters jodi kantor  megan twohey zoe kazan plays kantor  carey mulligan portrays twohey ina sense  movie  like many othersintrepid reporters using  professional skills  bring   truly terrible person   case  person  harvey weinstein   dont knowand   movie shows uswas  difficult    kantor  twohey  get women  talk   record everyone knew  weinstein   sexual predator however  position   film industry     could crush anyone  refused  demands  also survived  offering settlements   victims  settlements included  non disclosure clause even though  know  outcome  film  still powerful kazan  mulligan  extraordinary actors   bring  life  struggle  getting women  talk   record  worth watching  film  see    accomplish  seemingly impossible task  said   pretty good imdb rating  72  interest   women rated  75  men rated  71  enjoyed  movie   thought    much better    rated ,positive
 film packs  punch sleepindragon 27 august 2023 two brave journalists jodi kantor  megan twohey work  unearth  harvey weinstein scandal one  hollywoods  powerful producers  preyed  many women    powerful thought provoking film   two hours long  well paced  chillingly realistic  almost shocking  believe  events  actually happen  well made  well acted  story    dangerous predator  finally taken  task   something  sickening  ndas  served  simply allow perpetrators  get away   crimes scott free   movement  seems   changed  whole industry exposing    single predatory individual  misused  immense sense  power  control   whole network  society   two long remained protected zoe kazan  carey mulligan deliver terrific performances  pair truly deliver  powerful  sincere performances  pair combined particularly well  frightening  think  much   brushed   carpet   years     powerful story,positive
 said   quiet thriller  speaks many voices  volumes  need   heard    hard  watch  said   needs   watched  every generation gusherpop 11 january 2023  said   quiet thriller  speaks many voices  volumes  need   heard    hard  watch  said   needs   watched  every generation     addressed  february 2020  new york jury found harvey weinstein  producer whose films   dozens  oscars guilty  criminal sexual assault  rape  two   half years later     trial  california facing 11  charges jurors   trial received  particular instruction  judge barred   watching  trailer   said others  largely eluded consequences debate continues  whether  movement  gone  far   far enough already  hollywood industry leaders  observed  regression    outright backlash    contentious climate    film arrives  said directed  maria schrader   script  rebecca lenkiewicz  built solid  low   ground   designed  withstand  shifts  cultural winds  said opens    newsroom   one   hotel suites  weinstein preferred   rural ireland  1992   young woman encounters  film crew  swiftly adopts    seconds later   shown running   city street panicked  victim  would seem  assault   film   life  reporters benefit   lucky break  two  source within  weinstein company zach grenier  admission   weinstein lawyer peter friedman   said largely stresses  unglamorous grind   investigation  phone calls  doorstepping  delicate moral suasion  reporters use  convince sources  trust     argument twohey uses   women  speaks   cant change  happened     past  together  may  able  use  experience  help protect  people  said details  triumph  journalistic sympathy  precision   become   realworld movement  reporting kindled  jurys still ,positive
powerful okpilak 16 january 2023  movie    journalism works  work  journalists    talking head  television   effort involved  uncovering  story  getting  collaboration     reporting   isnt  story   5 oclock evening news   heard  quickly forgotten  strength   movie    showed  difficulty  getting  women  come forward   substantial power   control hold  others  suspect    movie came    postscripts   end    sort   recap instead  found  much  rosy assumptions     accomplished  getting  story   reality     beginning   long  difficult task ahead  benefit   society  good pairing   film would  bombshell 2019,positive
excellent movie oktaytaskapan 5 october 2005  movie reflects  culture  intelligence  distinguished european animated filmmakers per ahlins personal drawing style  characters  unique  film  based  shakespeares masterpiece  storm first    presents  strong message   future  humanity life  environmental pollution   one   best animated movies   ever seen   opinion  movie   compared   miyazakis spirited away   clear  per ahlin  one    talented animators   world  children must see  movie   last word  nice treatment  humans suffering  disney movies,positive
